Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
Á;aþ;á;-;-
dögum;nkfþ;dagur;nkfo;-
hins;fakee;hinn;-;-
helga;lkeevf;helgur;lkfevf;-
Ólafs;nkee-s;Ólafur;-;-
konungs;nkee;konungur;;
voru;sfg3fþ;vera;;
margir;lkfnsf;margur;;
höfðingjar;nkfn;höfðingi;;
undir;aþ;undir;;
hans;fpkee;hann;;
konungdæmi;nhen;konungdæmi;;
,;punct;,;;
eigi;aa;eigi;;
aðeins;aa;aðeins;;
í;aþ;í;;
Noregi;nkeþ-s;Noregur;;
heldur;c;heldur;;
í;aþ;í;;
öllum;fohfþ;allur;;
löndum;nhfþ;land;;
,;punct;,;;
þeim;fakfþ;sá;;
er;ct;er;;
hans;fpkee;hann;;
konungdómur;nken;konungdómur;;
stóð;sfg3eþ;standa;;
yfir;aa;yfir;;
,;punct;,;;
og;c;og;;
voru;sfg3fþ;vera;;
þeir;fpkfn;hann;;
allir;fokfn;allur;;
mest;aae;mikið;;
virðir;lkfnsf;virður;;
af;aþ;af;;
guði;nkeþ;guð;;
er;sfg3en;vera;;
konungi;nkeþ;konungur;;
líkaði;sfg3eþ;líka;;
best;aae;vel;;
við;aa;við;;
.;punct;.;;
Í;ao;í;;
þann;fakeo;sá;;
tíma;nkeo;tími;;
var;sfg3eþ;vera;;
höfðingi;nken;höfðingi;;
ágætur;lkensf;ágætur;;
á;aþ;á;;
Íslandi;nheþ-s;Ísland;;
í;aþ;í;;
Ísafirði;nkeþ-s;Ísafjörður;;
er;sfg3en;vera;;
Vermundur;nken-s;Vermundur;;
hét;sfg3eþ;heita;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
Þorgrímsson;nken-s;Þorgrímsson;;
,;punct;,;;
bróðir;nken;bróðir;;
Víga-Styrs;nkee-s;Víga-Styr;;
.;punct;.;;
Vermundur;nken-s;Vermundur;;
hafði;sfg3eþ;hafa;;
bústað;nkeo;bústaður;;
í;aþ;í;;
Vatnsfirði;nkeþ-s;Vatnsfjörður;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
vitur;lkensf;vitur;;
og;c;og;;
vinsæll;lkensf;vinsæll;;
.;punct;.;;
Hann;fpken;hann;;
átti;sfg3eþ;eiga;;
konu;nveo;kona;;
þá;aa;þá;;
Þorbjörg;nven-s;Þorbjörg;;
hét;sfg3eþ;heita;;
.;punct;.;;
Hún;fpven;hún;;
